Stavanger S	0500	0516	0531	0546	0601	0616	0631	0646	0701	0716	0731	0746	0801	0816	0831	0846	0901	0916	0931	0946	1001	1016	1031	1046	1201	1216	1231	1246	1301	1316	1331	1346	1401	1416	1431	1446	1501	1516	1531	1546	1601	1616	1631	1646	1701	1716	1731	1746	1801	1816	1831	1846	1901	1916	1931	1946	2001	2031	2101	2131	2201	2231	2301	2331
Paradis	0502	0518	0533	0548	0603	0618	0633	0648	0703	0718	0733	0748	0803	0818	0833	0848	0903	0918	0933	0948	1003	1018	1033	1048	1203	1218	1233	1248	1303	1318	1333	1348	1403	1418	1433	1448	1503	1518	1533	1548	1603	1618	1633	1648	1703	1718	1733	1748	1803	1818	1833	1848	1903	1918	1933	1948	2003	2033	2103	2133	2203	2233	2303	2333
Mariero	0505	0521	0536	0551	0606	0621	0636	0651	0706	0721	0736	0751	0806	0821	0836	0851	0906	0921	0936	0951	1006	1021	1036	1051	1206	1221	1236	1251	1306	1321	1336	1351	1406	1421	1436	1451	1506	1521	1536	1551	1606	1621	1636	1651	1706	1721	1736	1751	1806	1821	1836	1851	1906	1921	1936	1951	2006	2036	2106	2136	2206	2236	2306	2336
Jåttåvågen	0508	0524	0539	0554	0609	0624	0639	0654	0709	0724	0739	0754	0809	0824	0839	0854	0909	0924	0939	0954	1009	1024	1039	1054	1209	1224	1239	1254	1309	1324	1339	1354	1409	1424	1439	1454	1509	1524	1539	1554	1609	1624	1639	1654	1709	1724	1739	1754	1809	1824	1839	1854	1909	1924	1939	1954	2009	2039	2109	2139	2209	2239	2309	2339
Gausel	0511	0527	0542	0557	0612	0627	0642	0657	0712	0727	0742	0757	0812	0827	0842	0857	0912	0927	0942	0957	1012	1027	1042	1057	1212	1227	1242	1257	1312	1327	1342	1357	1412	1427	1442	1457	1512	1527	1542	1557	1612	1627	1642	1657	1712	1727	1742	1757	1812	1827	1842	1857	1912	1927	1942	1957	2012	2042	2112	2142	2212	2242	2312	2342
Sandnes Sentrum	0516	0532	0547	0602	0617	0632	0647	0702	0717	0732	0747	0802	0817	0832	0847	0902	0917	0932	0947	1002	1017	1032	1047	1102	1217	1232	1247	1302	1317	1332	1347	1402	1417	1432	1447	1502	1517	1532	1547	1602	1617	1632	1647	1702	1717	1732	1747	1802	1817	1832	1847	1902	1917	1932	1947	2002	2017	2047	2117	2147	2217	2247	2317	2347
Sandnes	0518	0534	0549	0604	0619	0634	0649	0704	0719	0734	0749	0804	0819	0834	0849	0904	0919	0934	0949	1004	1019	1034	1049	1104	1219	1234	1249	1304	1319	1334	1349	1404	1419	1434	1449	1504	1519	1534	1549	1604	1619	1634	1649	1704	1719	1734	1749	1804	1819	1834	1849	1904	1919	1934	1949	2004	2019	2049	2119	2149	2219	2249	2319	2349
Ganddal	0521		0552		0622		0652		0722		0754		0822		0852		0922		0952		1022		1054		1222		1252		1322		1352		1422		1452		1522		1552		1622		1652		1722		1752		1823		1854		1922		1952		2022	2052	2123	2152	2222	2253	2322	2352
Øksnavadporten	0525		0556		0626		0656		0726		0757		0826		0856		0926		0956		1026		1058		1226		1256		1325		1356		1426		1457		1526		1556		1626		1656		1726		1756		1826		1857		1926		1956		2026	2056	2126	2156	2225	2256	2326	2356
Klepp	0528		0559		0629		0659		0729		0800		0829		0859		0929		0959		1029		1101		1229		1259		1328		1359		1429		1500		1529		1559		1629		1659		1729		1759		1829		1900		1929		1959		2029	2059	2129	2159	2228	2259	2329	2359
Bryne	0534		0605		0635		0705		0735		0806		0833		0905		0933		1005		1033		1105		1235		1305		1334		1405		1433		1505		1534		1604		1634		1705		1735		1805		1835		1906		1935		2005		2035	2105	2135	2205	2233	2305	2336	0005
Nærbø	0542		0611		0640		0710		0742		0811		0839		0910		0938		1010		1040		1110		1240		1310		1340		1410		1439		1511		1540		1610		1641		1711		1741		1810		1840		1911		1941		2010		2042	2110	2140	2210	2240	2310	2342	0012
Varhaug	0546		0615		0644				0746				0843				0942				1044				1245				1344		1414		1443		1515		1544		1614		1645		1715		1745				1845				1946				2047		2145		2245		2346	0017
Vigrestad	0550		0621		0651				0751				0848				0948				1049				1251				1349		1419		1449		1521		1550		1620		1651		1721		1751				1851				1951				2051		2151		2251		2350	0021
Brusand	0554		0625		0655				0755				0852				0952				1053				1255				1353		1423		1454		1525		1554		1624		1655		1725		1755				1855				1955				2055		2155		2255		0003	0035
Ogna	0557		0628		0658				0758				0856				0956				1057				1258				1356		1426		1457		1528		1557		1628		1659		1728		1800				1858				1958				2058		2158		2258		0008	0040
Sirevåg	0600		0631		0701				0801				0859				0959				1059				1301				1359		1429		1500		1531		1600		1631		1701		1731		1803				1901				2001				2101		2201		2301		0011	0043
Hellvik	0605		0636		0706				0806				0904				1004				1104				1306				1404		1434		1505		1535		1605		1636		1706		1736		1808				1906				2006				2106		2208		2308		0022	0053
Egersund	0611		0641		0711				0811				0909				1009				1109				1311				1409		1439		1510		1540		1610		1641		1711		1741		1813				1911				2011				2111		2213		2313		0032	0103
