 StavangerS			525	841	1011	1423	1623	1923	2242
 Jattavagen			532	849	1019	1431	1631	1931	2249
 SandnesS			539	856	1026	1439	1638	1938	2256
 Bryne			554	913	1046	1455	1653	1955	2313
 Egersund			626	939	1119	1525	1727	2021	2340
 Moi		616	710	1019	1159	1603	1813	2059	22
 Sira		623	717	1025	1206	1610	1820	2105	29
 Sira		624	718	1026	1207	1611	1821	2106	31
 Gyland		637	731	1039	1220	1623	1835	2120	44
 Storekvina		643	737	1045	1226	1629	1841	2126	50
 Snartemo		655	749	1057	1238	1644	1853	2139	103
 Audnedal		701	756	1104	1247	1653	1900	2146	110
 Marnardal		715	810	1118	1301	1708	1914	2201	125
 Breland		727
 Nodeland		735	830	1138	1320	1728	1934	2221	145
 Kristiansand		745	839	1147	1329	1738	1943	2230	154
 Kristiansand	534		847	 	1344	1755	  	  	219
 Vennesla	547		900		1358	1808			238
 Nelaug	632		945		1447	1857			336
 Nelaug	634		947		1449	1858			336
 Vegarshei	649		1002		1506	1913			352
 Gjerstad	708		1023		1527	1932			413
 Neslandsvatn	720		1035		1540	1944			427
 Neslandsvatn	721		1036		1542	1945			427
 Drangedal	732		1047		1555	1959			440
 Lunde	752		1107		1615	2019			502
 Bo	803		1118		1627	2031			515
 Nordagutu	818		1133		1641	2045			530
 Kongsberg	859		1212		1718	2119			608
 Hokksund			1236		  				632
 Drammen	932		1252		1751	2152			650
