Time	Type	Direction	Station	Schedule	Routnr	granted
04:58:00	D	N	Egersund	04:57:00	|1	|1
05:04:00	D	N	Hellvik	05:03:00	|1	|1
05:09:00	D	N	Sirevag	05:08:00	|1	|1
05:12:00	D	N	Ogna	05:11:00	|1	|1
05:16:00	D	N	Brusand	05:15:00	|1	|1
05:20:00	D	N	Vigrestad	05:19:00	|1	|1
05:25:00	D	N	Varhaug	05:24:00	|1	|1
05:28:00	D	N	Egersund	05:27:00	|3	|1
05:29:00	D	N	Naerbo	05:28:00	|1	|1
05:34:00	D	N	Hellvik	05:33:00	|3	|1
05:35:00	D	N	Bryne	05:34:00	|1	|1
05:39:00	D	N	Klepp	05:38:00	|1	|1
05:39:00	D	N	Sirevag	05:38:00	|3	|1
05:42:00	D	N	Ogna	05:41:00	|3	|1
05:42:00	D	N	Oksnavadporten	05:41:00	|1	|1
05:46:00	D	N	Brusand	05:44:00	|3	|1
05:46:00	D	N	Ganddal	05:45:00	|1	|1
05:50:00	D	N	Sandnes	06:04:00	|2	|1
05:51:00	D	N	Vigrestad	05:50:00	|3	|1
05:52:00	D	N	SandnesS	05:51:00	|1	|1
05:56:00	D	N	Varhaug	05:54:00	|3	|1
05:57:00	D	N	Gausel	06:41:00	|4	|1
05:59:00	D	N	Egersund	05:58:00	|5	|1
06:00:00	D	N	Naerbo	06:00:00	|3	|1
06:00:00	D	N	Jattavagen	05:59:00	|1	|1
06:03:00	D	N	Mariero	06:02:00	|1	|1
06:05:00	D	N	Sandnes	06:04:00	|2	|1
06:06:00	D	N	Paradis	06:05:00	|1	|1
06:06:00	D	N	Bryne	06:06:00	|3	|1
06:06:00	D	N	Hellvik	06:05:00	|5	|1
06:07:00	D	N	SandnesS	06:06:00	|2	|1
06:10:00	D	N	Klepp	06:10:00	|3	|1
06:11:00	D	N	Sirevag	06:10:00	|5	|1
06:12:00	D	N	Gausel	06:56:00	|5	|1
06:13:00	D	N	Oksnavadporten	06:12:00	|3	|1
06:14:00	D	N	Ogna	06:13:00	|5	|1
06:15:00	D	N	Jattavagen	06:14:00	|2	|1
06:17:00	D	N	Ganddal	06:16:00	|3	|1
06:18:00	D	N	Brusand	06:17:00	|5	|1
06:18:00	D	N	Mariero	06:17:00	|2	|1
06:21:00	D	N	Paradis	06:20:00	|2	|1
06:21:00	D	N	Sandnes	06:04:00	|2	|1
06:22:00	D	N	Vigrestad	06:21:00	|5	|1
06:23:00	D	N	SandnesS	06:21:00	|3	|1
06:27:00	D	N	Varhaug	06:25:00	|5	|1
06:28:00	D	N	Gausel	06:26:00	|3	|1
06:29:00	D	N	Egersund	04:57:00	|1	|1
06:31:00	D	N	Jattavagen	06:29:00	|3	|1
06:31:00	D	N	Naerbo	06:29:00	|5	|1
06:34:00	D	N	Mariero	06:32:00	|3	|1
06:35:00	D	N	Sandnes	06:04:00	|2	|1
06:37:00	D	N	Hellvik	06:36:00	|7	|1
06:37:00	D	N	Paradis	06:35:00	|3	|1
06:37:00	D	N	Bryne	06:35:00	|5	|1
06:37:00	D	N	SandnesS	06:36:00	|4	|1
06:41:00	D	N	Klepp	06:39:00	|5	|1
06:42:00	D	N	Gausel	07:26:00	|7	|1
06:42:00	D	N	Sirevag	06:41:00	|7	|1
06:44:00	D	N	Oksnavadporten	06:42:00	|5	|1
06:45:00	D	N	Jattavagen	06:44:00	|4	|1
06:45:00	D	N	Ogna	06:44:00	|7	|1
06:48:00	D	N	Mariero	06:47:00	|4	|1
06:48:00	D	N	Ganddal	06:46:00	|5	|1
06:49:00	D	N	Brusand	06:47:00	|7	|1
06:51:00	D	N	Paradis	06:50:00	|4	|1
06:52:00	D	N	Sandnes	06:04:00	|2	|1
06:53:00	D	N	Vigrestad	06:51:00	|7	|1
06:54:00	D	N	SandnesS	06:51:00	|5	|1
06:58:00	D	N	Varhaug	06:55:00	|7	|1
06:59:00	D	N	Gausel	06:56:00	|5	|1
06:59:00	D	N	Egersund	04:57:00	|1	|1
07:02:00	D	N	Jattavagen	06:59:00	|5	|1
07:02:00	D	N	Naerbo	06:59:00	|7	|1
07:05:00	D	N	Mariero	07:02:00	|5	|1
07:05:00	D	N	Sandnes	06:04:00	|2	|1
07:07:00	D	N	SandnesS	07:06:00	|6	|1
07:08:00	D	N	Paradis	07:05:00	|5	|1
07:08:00	D	N	Hellvik	07:06:00	|10	|1
07:08:00	D	N	Bryne	07:06:00	|7	|1
07:12:00	D	N	Klepp	07:10:00	|7	|1
07:12:00	D	N	Gausel	07:11:00	|6	|1
07:13:00	D	N	Sirevag	07:11:00	|10	|1
07:15:00	D	N	Oksnavadporten	07:12:00	|7	|1
07:15:00	D	N	Jattavagen	07:14:00	|6	|1
07:16:00	D	N	Ogna	07:14:00	|10	|1
07:18:00	D	N	Naerbo	06:59:00	|7	|1
07:18:00	D	N	Mariero	07:17:00	|6	|1
07:19:00	D	N	Ganddal	07:16:00	|7	|1
07:20:00	D	N	Brusand	07:17:00	|10	|1
07:21:00	D	N	Paradis	07:20:00	|6	|1
07:23:00	D	N	Sandnes	06:04:00	|2	|1
07:24:00	D	N	Bryne	07:23:00	|9	|1
07:24:00	D	N	Vigrestad	07:21:00	|10	|1
07:25:00	D	N	SandnesS	07:21:00	|7	|1
07:29:00	D	N	Egersund	04:57:00	|1	|1
07:29:00	D	N	Varhaug	07:25:00	|10	|1
07:29:00	D	N	Klepp	07:29:00	|9	|1
07:30:00	D	N	Gausel	07:26:00	|7	|1
07:32:00	D	N	Oksnavadporten	07:32:00	|9	|1
07:33:00	D	N	Jattavagen	07:29:00	|7	|1
07:33:00	D	N	Naerbo	06:59:00	|7	|1
07:35:00	D	N	Hellvik	07:34:00	|12	|1
07:35:00	D	N	Sandnes	06:04:00	|2	|1
07:36:00	D	N	Ganddal	07:36:00	|9	|1
07:36:00	D	N	Mariero	07:32:00	|7	|1
07:37:00	D	N	SandnesS	07:36:00	|8	|1
07:39:00	D	N	Paradis	07:35:00	|7	|1
07:39:00	D	N	Bryne	07:35:00	|10	|1
07:40:00	D	N	Sandnes	06:04:00	|2	|1
07:40:00	D	N	Sirevag	07:39:00	|12	|1
07:42:00	D	N	Gausel	08:11:00	|11	|1
07:42:00	D	N	SandnesS	07:41:00	|9	|1
07:43:00	D	N	Klepp	07:39:00	|10	|1
07:43:00	D	N	Ogna	07:42:00	|12	|1
07:45:00	D	N	Jattavagen	07:44:00	|8	|1
07:46:00	D	N	Oksnavadporten	07:42:00	|10	|1
07:47:00	D	N	Gausel	07:46:00	|9	|1
07:47:00	D	N	Brusand	07:46:00	|12	|1
07:48:00	D	N	Mariero	07:47:00	|8	|1
07:50:00	D	N	Jattavagen	07:49:00	|9	|1
07:50:00	D	N	Ganddal	07:46:00	|10	|1
07:51:00	D	N	Vigrestad	07:51:00	|12	|1
07:51:00	D	N	Paradis	07:50:00	|8	|1
07:53:00	D	N	Mariero	07:52:00	|9	|1
07:54:00	D	N	Sandnes	06:04:00	|2	|1
07:56:00	D	N	Paradis	07:55:00	|9	|1
07:56:00	D	N	SandnesS	07:51:00	|10	|1
07:56:00	D	N	Varhaug	00:00:00	|9	|1
08:00:00	D	N	Naerbo	06:59:00	|7	|1
08:01:00	D	N	Gausel	07:56:00	|10	|1
08:04:00	D	N	Jattavagen	07:59:00	|10	|1
08:05:00	D	N	Sandnes	06:04:00	|2	|1
08:06:00	D	N	Bryne	00:00:00	|11	|1
08:07:00	D	N	Mariero	08:02:00	|10	|1
08:07:00	D	N	SandnesS	08:06:00	|11	|1
08:10:00	D	N	Klepp	08:10:00	|12	|1
08:10:00	D	N	Paradis	08:05:00	|10	|1
08:12:00	D	N	Gausel	08:11:00	|11	|1
08:13:00	D	N	Oksnavadporten	08:12:00	|12	|1
08:15:00	D	N	Jattavagen	08:14:00	|11	|1
08:17:00	D	N	Ganddal	08:16:00	|12	|1
08:18:00	D	N	Mariero	08:17:00	|11	|1
08:21:00	D	N	Paradis	08:20:00	|11	|1
08:21:00	D	N	Sandnes	06:04:00	|2	|1
08:23:00	D	N	SandnesS	08:21:00	|12	|1
08:26:00	D	N	Egersund	04:57:00	|1	|1
08:26:00	D	N	Naerbo	06:59:00	|7	|1
08:28:00	D	N	Gausel	08:26:00	|12	|1
08:31:00	D	N	Jattavagen	08:29:00	|12	|1
08:32:00	D	N	Hellvik	08:31:00	|16	|1
08:34:00	D	N	Mariero	08:32:00	|12	|1
08:35:00	D	N	Sandnes	06:04:00	|2	|1
08:35:00	D	N	Bryne	08:33:00	|14	|1
08:37:00	D	N	SandnesS	08:36:00	|13	|1
08:37:00	D	N	Paradis	08:35:00	|12	|1
08:37:00	D	N	Sirevag	08:36:00	|16	|1
08:39:00	D	N	Klepp	08:37:00	|14	|1
08:40:00	D	N	Ogna	08:39:00	|16	|1
08:42:00	D	N	Oksnavadporten	08:40:00	|14	|1
08:42:00	D	N	Gausel	08:41:00	|13	|1
08:44:00	D	N	Brusand	08:42:00	|16	|1
08:45:00	D	N	Jattavagen	08:44:00	|13	|1
08:46:00	D	N	Ganddal	08:45:00	|14	|1
08:48:00	D	N	Mariero	08:47:00	|13	|1
