Time	Type	Direction	Station	Schedule	Routnr	granted
05:00:00	D	S	StavangerS	05:00:00	|1	|1
05:02:00	D	S	Paradis	05:02:00	|1	|1
05:05:00	D	S	Mariero	05:05:00	|1	|1
05:08:00	D	S	Jattavagen	05:08:00	|1	|1
05:11:00	D	S	Gausel	05:11:00	|1	|1
05:16:00	D	S	StavangerS	05:16:00	|2	|1
05:16:00	D	S	SandnesS	05:16:00	|1	|1
05:18:00	D	S	Sandnes	05:18:00	|1	|1
05:18:00	D	S	Paradis	05:18:00	|2	|1
05:21:00	D	S	Ganddal	05:21:00	|1	|1
05:21:00	D	S	Mariero	05:21:00	|2	|1
05:24:00	D	S	Jattavagen	05:24:00	|2	|1
05:25:00	D	S	Oksnavadporten	05:25:00	|1	|1
05:27:00	D	S	Gausel	05:27:00	|2	|1
05:28:00	D	S	Klepp	05:28:00	|1	|1
05:31:00	D	S	StavangerS	05:31:00	|3	|1
05:32:00	D	S	SandnesS	05:32:00	|2	|1
05:33:00	D	S	Paradis	05:33:00	|3	|1
05:35:00	D	S	Bryne	05:34:00	|1	|1
05:36:00	D	S	Mariero	05:36:00	|3	|1
05:39:00	D	S	Jattavagen	05:39:00	|3	|1
05:42:00	D	S	Gausel	05:42:00	|3	|1
05:43:00	D	S	Naerbo	05:42:00	|1	|1
05:46:00	D	S	StavangerS	05:46:00	|4	|1
05:47:00	D	S	SandnesS	05:47:00	|3	|1
05:47:00	D	S	Varhaug	05:46:00	|1	|1
05:48:00	D	S	Paradis	05:48:00	|4	|1
05:49:00	D	S	Sandnes	05:34:00	|2	|1
05:51:00	D	S	Vigrestad	06:21:00	|3	|1
05:51:00	D	S	Mariero	05:51:00	|4	|1
05:52:00	D	S	Ganddal	05:52:00	|3	|1
05:54:00	D	S	Jattavagen	05:54:00	|4	|1
05:55:00	D	S	Brusand	05:54:00	|1	|1
05:56:00	D	S	Oksnavadporten	05:56:00	|3	|1
05:57:00	D	S	Gausel	05:57:00	|4	|1
05:58:00	D	S	Ogna	05:57:00	|1	|1
05:59:00	D	S	Klepp	05:59:00	|3	|1
06:01:00	D	S	Sirevag	06:00:00	|1	|1
06:01:00	D	S	StavangerS	06:01:00	|5	|1
06:02:00	D	S	SandnesS	06:02:00	|4	|1
06:03:00	D	S	Paradis	06:03:00	|5	|1
06:06:00	D	S	Bryne	06:05:00	|3	|1
06:06:00	D	S	Mariero	06:06:00	|5	|1
06:06:00	D	S	Hellvik	07:06:00	|5	|1
06:09:00	D	S	Jattavagen	06:09:00	|5	|1
06:12:00	D	S	Gausel	06:12:00	|5	|1
06:14:00	D	S	Naerbo	06:11:00	|3	|1
06:16:00	D	S	StavangerS	05:00:00	|1	|1
06:17:00	D	S	SandnesS	06:17:00	|5	|1
06:18:00	D	S	Varhaug	06:15:00	|3	|1
06:18:00	D	S	Paradis	06:18:00	|6	|1
06:19:00	D	S	Sandnes	05:34:00	|2	|1
06:21:00	D	S	Mariero	06:21:00	|6	|1
06:22:00	D	S	Vigrestad	06:51:00	|5	|1
06:22:00	D	S	Ganddal	06:22:00	|5	|1
06:24:00	D	S	Jattavagen	06:24:00	|6	|1
06:26:00	D	S	Brusand	06:25:00	|3	|1
06:26:00	D	S	Oksnavadporten	06:26:00	|5	|1
06:27:00	D	S	Gausel	06:27:00	|6	|1
06:29:00	D	S	Klepp	06:29:00	|5	|1
06:29:00	D	S	Ogna	06:28:00	|3	|1
06:31:00	D	S	StavangerS	05:00:00	|1	|1
06:32:00	D	S	Sirevag	06:31:00	|3	|1
06:32:00	D	S	SandnesS	06:32:00	|6	|1
06:33:00	D	S	Paradis	06:33:00	|7	|1
06:36:00	D	S	Mariero	06:36:00	|7	|1
06:37:00	D	S	Bryne	06:35:00	|5	|1
06:37:00	D	S	Hellvik	00:00:00	|7	|1
06:39:00	D	S	Jattavagen	06:39:00	|7	|1
06:42:00	D	S	Gausel	06:42:00	|7	|1
06:45:00	D	S	Naerbo	06:40:00	|5	|1
06:46:00	D	S	StavangerS	05:00:00	|1	|1
06:47:00	D	S	SandnesS	06:47:00	|7	|1
06:48:00	D	S	Paradis	06:48:00	|8	|1
06:49:00	D	S	Varhaug	06:44:00	|5	|1
06:49:00	D	S	Sandnes	05:34:00	|2	|1
06:51:00	D	S	Mariero	06:51:00	|8	|1
06:52:00	D	S	Ganddal	06:52:00	|7	|1
06:53:00	D	S	Vigrestad	06:51:00	|5	|1
06:54:00	D	S	Jattavagen	06:54:00	|8	|1
06:56:00	D	S	Oksnavadporten	06:56:00	|7	|1
06:57:00	D	S	Brusand	06:55:00	|5	|1
06:57:00	D	S	Gausel	06:57:00	|8	|1
06:59:00	D	S	Klepp	06:59:00	|7	|1
07:00:00	D	S	Ogna	06:58:00	|5	|1
07:01:00	D	S	StavangerS	05:00:00	|1	|1
07:02:00	D	S	SandnesS	07:02:00	|8	|1
07:03:00	D	S	Paradis	07:03:00	|9	|1
07:03:00	D	S	Sirevag	07:01:00	|5	|1
07:06:00	D	S	Mariero	07:06:00	|9	|1
07:08:00	D	S	Bryne	07:05:00	|7	|1
07:08:00	D	S	Hellvik	07:06:00	|5	|1
07:09:00	D	S	Jattavagen	07:09:00	|9	|1
07:12:00	D	S	Gausel	07:12:00	|9	|1
07:16:00	D	S	StavangerS	05:00:00	|1	|1
07:17:00	D	S	SandnesS	07:17:00	|9	|1
07:18:00	D	S	Paradis	07:18:00	|10	|1
07:19:00	D	S	Sandnes	05:34:00	|2	|1
07:21:00	D	S	Mariero	07:21:00	|10	|1
07:22:00	D	S	Ganddal	07:22:00	|9	|1
07:24:00	D	S	Jattavagen	07:24:00	|10	|1
07:26:00	D	S	Oksnavadporten	07:26:00	|9	|1
07:27:00	D	S	Gausel	07:27:00	|10	|1
07:29:00	D	S	Klepp	07:29:00	|9	|1
07:31:00	D	S	StavangerS	05:00:00	|1	|1
07:32:00	D	S	SandnesS	07:32:00	|10	|1
07:33:00	D	S	Paradis	07:33:00	|11	|1
07:36:00	D	S	Mariero	07:36:00	|11	|1
07:39:00	D	S	Bryne	07:35:00	|9	|1
07:39:00	D	S	Jattavagen	07:39:00	|11	|1
07:42:00	D	S	Gausel	07:42:00	|11	|1
07:46:00	D	S	StavangerS	05:00:00	|1	|1
07:47:00	D	S	Naerbo	07:10:00	|7	|1
07:47:00	D	S	SandnesS	07:47:00	|11	|1
07:48:00	D	S	Paradis	07:48:00	|12	|1
07:49:00	D	S	Sandnes	05:34:00	|2	|1
07:51:00	D	S	Mariero	07:51:00	|12	|1
07:52:00	D	S	Ganddal	07:54:00	|11	|1
07:54:00	D	S	Jattavagen	07:54:00	|12	|1
07:56:00	D	S	Varhaug	07:46:00	|9	|1
07:56:00	D	S	Oksnavadporten	07:57:00	|11	|1
07:57:00	D	S	Gausel	07:57:00	|12	|1
07:59:00	D	S	Klepp	08:00:00	|11	|1
08:00:00	D	S	Vigrestad	07:51:00	|9	|1
08:01:00	D	S	StavangerS	05:00:00	|1	|1
08:02:00	D	S	SandnesS	08:02:00	|12	|1
08:03:00	D	S	Paradis	08:03:00	|13	|1
08:04:00	D	S	Brusand	07:55:00	|9	|1
08:06:00	D	S	Bryne	08:06:00	|11	|1
08:06:00	D	S	Mariero	08:06:00	|13	|1
